Número do Documento;Nome da conta;Tipo;Grupo Econômico: Grupo Econômico;RET;Data de Inclusão;Marca;Representante;Situação;Setor;País de entrega;ICMS;Limite de Crédito Moeda;Limite de Crédito;Ramo de Atividade;Segmento;Situação Financeira;Código Externo
08.654.481/0001-60;FISHERS IND E COM DE CONF LTDA;Cliente MI;FISHERS IND. E COM. DE CONF. LTDA;0;25/09/2019;FISHERS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C18443
33.324.199/0001-62;LARISSA CASTELO BRANCO REPRESENTACOE;Cliente MI;LARISSA CASTELO BRANCO REPRESENTACOE;0;28/11/2019;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;7;BRL;0;Atacado;Revenda de Tecido;Liberado;C18540
04.527.385/0001-09;BENTES E ABDON IND E COM DE CONF;Cliente MI;TONYS MAN;0;13/11/2019;TONYS MAN;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;15000;;;Liberado;C18521
00.169.671/0001-80;FERNANDO FREITAS DA SILVA;Cliente MI;NATIVO/BLUE WAVE;0;24/10/2019;NATIVO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18487
11.765.666/0001-57;MADAMA IND. E COMERC. DE CONF. LTDA;Cliente MI;MADAMA;0;21/10/2019;MADAMA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C18479
19.059.988/0001-92;ADVERTENCE CONFECCOES LTDA;Cliente MI;ADVERTENCE;0;05/09/2016;ADVERTENCE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C15073
34.950.246/0001-46;UBIRATAN IND. E COM. DE CONF. LTDA;Cliente MI;SMOLDER;0;19/06/2017;SMOLDER;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C15846
30.688.244/0001-70;F C SOUSA DA SILVA;Cliente MI;AZZURI;0;30/01/2020;AZZURI;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;5000;;;Liberado;C18650
33.908.163/0001-26;CAMILA FAUSTINO VIEIRA SABINO;Cliente MI;TCHU.BI;0;28/01/2020;TCHU.BI;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;0;Marca;Infantil;Liberado;C18621
26.424.647/0006-49;RP COM DE CONFEC EIRELI;Cliente MI;REPUBLIC PARADISE;0;17/01/2020;REPUBLIC PARADISE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C18601
29.879.826/0001-54;ROMULO OLIVEIRA DE AZEV 05454133388;Cliente MI;OI-IO;0;10/01/2020;ROMULO OLIVEIRA DE AZEVEDO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18587
11.154.359/0001-30;MCF DE QUEIROZ VARIE. E MODA ME;Cliente MI;TNY;0;08/01/2020;TNY;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;15000;Confecção PL + Marca Própria;Masculino;Liberado;C18583
07.976.257/0003-94;FCO ALVES PORTELA NETO EIRELI;Cliente MI;UZZO;0;13/02/2020;UZZO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18710
33.894.138/0001-30;KLEBER SERPA ALVES;Cliente MI;LIY;0;01/07/2020;LIY;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18907
32.231.406/0001-71;THIAGO DE SOUZA QUEIROZ;Cliente MI;IKIRU;0;29/06/2020;IKIRU;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18898
12.070.005/0001-70;TEREZINHA ANDRE DE JESUS ME;Cliente MI;ROMANDS;0;11/09/2020;ROMADS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19126
17.148.365/0001-60;RENATA GOMES GONCALVES ME;Cliente MI;LITTLE CLUB;0;20/08/2020;LITTLE CLUB;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;15000;Confecção PL + Marca Própria;Infantil;Liberado;C19052
29.891.792/0001-13;WSL COM E IND DE CONF LTDA;Cliente MI;UZZO;0;28/07/2020;HAQUETTE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;0;Confecção PL;Masculino;Liberado;C18959
