ANO,MERCADO,MES,CLIENTE,MN,ARTIGO,REPRESENTANTE,GERENCIA,MTS,RS
2026,E,JAN,BUSTLE CLOTHING,TED,GALLES,CHARLES MILGROM,EXPORTAÇÃO,775.0,22222.0
2026,E,JAN,CAMISAS BÁVARA SAS.,TF,OXFORDINE,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,1027.0,19685.0
2026,E,JAN,CAMISAS BÁVARA SAS.,TP,GALLES,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,4040.0,73585.0
2026,E,JAN,CAMISAS BÁVARA SAS.,TP,OXFORDINE,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,992.0,18870.0
2026,E,JAN,COMERTEX S.A.S,TF,ANA RUGA,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,2382.0,42126.0
2026,E,JAN,COMERTEX S.A.S,TF,BIARRITZ,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,3764.0,58248.0
2026,E,JAN,COMERTEX S.A.S,TF,OXFORD,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,888.0,13744.0
2026,E,JAN,COMERTEX S.A.S,TF,VICHY,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,5459.0,75442.0
2026,E,JAN,COMERTEX S.A.S,TP,BIARRITZ,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,301.0,4164.0
2026,E,JAN,COMERTEX S.A.S,TP,OXFORD,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,292.0,4039.0
2026,E,JAN,ESTUDIO DE MODA S.A.S.,TP,RAVEL,SEBASTIAN GIRALDO CALLE,EXPORTAÇÃO,200.0,4829.0
2026,E,JAN,EXIID INTERNATIONAL,TF,BIARRITZ,KARINA DE OLIVEIRA RODRIGUES,EXPORTAÇÃO,6.0,180.0
2026,E,JAN,EXIID INTERNATIONAL,TF,TAOS,KARINA DE OLIVEIRA RODRIGUES,EXPORTAÇÃO,6.0,162.0
2026,E,JAN,EXIID INTERNATIONAL,TF,TAOS FLAT,KARINA DE OLIVEIRA RODRIGUES,EXPORTAÇÃO,6.0,164.0
2026,E,JAN,EXIID INTERNATIONAL,TF,TAOS MELANGE,KARINA DE OLIVEIRA RODRIGUES,EXPORTAÇÃO,12.0,366.0
2026,E,JAN,EXIID INTERNATIONAL,TF,VARSOVIA,KARINA DE OLIVEIRA RODRIGUES,EXPORTAÇÃO,6.0,176.0
2026,E,JAN,FABRIC FINDERS INC.,TER,RUTH,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,1104.0,21259.0
2026,E,JAN,FABRIC FINDERS INC.,TED,SILKY,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,201.0,2933.0
2026,E,JAN,FABRIC FINDERS INC.,TF,ANA RUGA,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,1014.0,16671.0
2026,E,JAN,FABRIC FINDERS INC.,TF,ANA RUGA STRONG,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,530.0,9788.0
2026,E,JAN,FABRIC FINDERS INC.,TF,CHAMBRAY,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,764.0,12402.0
2026,E,JAN,FABRIC FINDERS INC.,TF,VICHY,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,2183.0,29134.0
2026,E,JAN,FABRIC FINDERS INC.,TP,ANA RUGA,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,368.0,5785.0
2026,E,JAN,FABRIC FINDERS INC.,TP,CAPITU,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,183.0,2307.0
2026,E,JAN,FABRIC FINDERS INC.,TP,RUTH,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,959.0,16637.0
2026,E,JAN,"HANDWORKS, S.A. DE C.V.",TP,ANA RUGA,MIC2 TEXTILE SOLUTIONS LLC,EXPORTAÇÃO,110.0,4255.0
2026,E,JAN,HANS-GERD SWAFING E.K,TF,BIARRITZ,VOLKER EICKELMANN,EXPORTAÇÃO,6595.0,158654.0
